Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txdata_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
595,595,0,0,e79daec5
596,596,0,0,e9a9534c
597,597,0,0,383974f4
598,598,0,0,6b779396
599,599,0,0,1fab7a33
600,600,0,0,801d40fa
601,601,0,0,05ae014d
602,602,0,0,49581ce4
603,603,0,0,bae5b4d1
604,604,0,0,4ccd9d5d
605,605,0,0,f8e1abaf
606,606,0,0,65981144
607,607,0,0,c0e75f51
608,608,0,0,04e38150
609,609,0,0,55bc194a
610,610,0,0,0e34fd89
611,611,0,0,d19027b8
612,612,0,0,534ee762
613,613,0,0,74dce9a5
614,614,0,0,9fb63ac9
615,615,0,0,85b341b7
616,616,0,0,4cf61da9
617,617,0,0,f3bda835
618,618,0,0,f628298c
619,619,0,0,b42c36f2
620,620,0,0,9d79baeb
621,621,0,0,a57f4e15
622,622,0,0,c404de01
623,623,0,0,515f981a
624,624,0,0,5b88e4c3
625,625,0,0,dfa4da31
626,626,0,0,82dec0da
627,627,0,0,27920ec7
628,628,0,0,eb6ad36c
629,629,0,0,1a057b7e
630,630,0,0,c9455c1e
631,631,0,0,bf4bb59c
632,632,0,0,059581b9
633,633,0,0,42041f7e
634,634,0,0,29558c19
635,635,0,0,3806f4fe
636,636,0,0,617b9014
637,637,0,0,955b461b
638,638,0,0,0ad77cd9
639,639,0,0,842c3ef2
640,640,0,0,5d7a1aeb
641,641,0,0,a54cce1d
642,642,0,0,ccf8ddab
643,643,0,0,f16fa812
644,644,0,0,d3402760
645,645,0,0,760ee982
646,646,0,0,bade3425
647,647,0,0,47919ec7
648,648,0,0,6b519367
649,649,0,0,115378e7
650,650,0,0,597d64ea
651,651,0,0,f420d60f
652,652,0,0,9f8c3ac2
653,653,0,0,8efb422b
654,654,0,0,d9562419
655,655,0,0,f836d4f6
656,656,0,0,69b413b6
657,657,0,0,3d9775b9
658,658,0,0,222f8f72
659,659,0,0,a54ecee2
660,660,0,0,ccd0dda7
661,661,0,0,fd4faae2
662,662,0,0,2cc00da0
663,663,0,0,7a02eb80
664,664,0,0,482e1c0d
665,665,0,0,ad5db2e5
666,666,0,0,6baceccd
667,667,0,0,117778e9
668,668,0,0,57ad6632
669,669,0,0,2160f0ef
670,670,0,0,9182c740
671,671,0,0,5423660f
672,672,0,0,1fb8facb
673,673,0,0,87614190
674,674,0,0,699e1345
675,675,0,0,319f7745
676,676,0,0,d18fa742
677,677,0,0,56c2e620
678,678,0,0,322cf78d
679,679,0,0,e573aee8
680,680,0,0,c6f15e28
681,681,0,0,7adb9424
682,682,0,0,46da1edb
683,683,0,0,76cd96dd
684,684,0,0,b0e237af
685,685,0,0,c5a1a14f
686,686,0,0,4b9b9cc4
687,687,0,0,98d9bb5b
688,688,0,0,eeff52d5
689,689,0,0,58016400
690,690,0,0,e010d007
691,691,0,0,874d4162
692,692,0,0,64ee11ad
693,693,0,0,d75f5965
694,694,0,0,2382f0c0
695,695,0,0,bc2aca0c
696,696,0,0,3c018aff
697,697,0,0,30178806
698,698,0,0,c62fa172
699,699,0,0,754396e0
700,700,0,0,8e3a3d8b
701,701,0,0,d342279f
702,702,0,0,7626e98e
703,703,0,0,b6fe36d5
704,704,0,0,b811b407
705,705,0,0,675d9165
706,706,0,0,e3a350cf
707,707,0,0,b3b148c8
708,708,0,0,f4dda9a5
709,709,0,0,9fa83acc
710,710,0,0,802b40f3
711,711,0,0,0c1602f9
712,712,0,0,f6382974
713,713,0,0,b36c3792
714,714,0,0,fb79ab6b
715,715,0,0,5d781a14
716,716,0,0,a564ce11
717,717,0,0,c0d8df5b
718,718,0,0,0eef82d2
719,719,0,0,df4c2562
720,720,0,0,84fec1aa
721,721,0,0,50121807
722,722,0,0,476ce16d
723,723,0,0,6b759369
724,724,0,0,1f837a3f
725,725,0,0,8c3d420a
726,726,0,0,fa2e2b8d
727,727,0,0,45541ee6
728,728,0,0,48159cf9
729,729,0,0,a601b17f
730,730,0,0,f81cd405
731,731,0,0,65bc114a
732,732,0,0,ce375d89
733,733,0,0,d1a3a7b0
734,734,0,0,5bb2e4c8
735,735,0,0,d4ecd9ad
736,736,0,0,177ef96a
737,737,0,0,2c197204
738,738,0,0,74f6e956
739,739,0,0,93be3835
740,740,0,0,76136987
741,741,0,0,bf7a356b
742,742,0,0,0d41821f
743,743,0,0,ee142d86
744,744,0,0,5e1d657a
745,745,0,0,9da0c54f
746,746,0,0,ab8b4cc3
747,747,0,0,1f94fa39
748,748,0,0,8a114378
749,749,0,0,8f5e3d65
750,750,0,0,c39220c7
751,751,0,0,3b678b6e
752,752,0,0,58ef9b52
753,753,0,0,e748d163
754,754,0,0,e5ad51b2
755,755,0,0,c9695cec
756,756,0,0,b23bb774
757,757,0,0,e355af99
758,758,0,0,b00948fc
759,759,0,0,c3bda035
760,760,0,0,362b898c
761,761,0,0,b41fb6fa
762,762,0,0,9585b941
763,763,0,0,054f7e1d
764,764,0,0,4ccc1da2
765,765,0,0,f8f5aba9
766,766,0,0,6388103c
767,767,0,0,bfa74a31
768,768,0,0,02e580d1
769,769,0,0,2cc40d5e
770,770,0,0,7b52eb98
771,771,0,0,516e18ed
772,772,0,0,535ce765
773,773,0,0,73b4e8c9
774,774,0,0,f59629b9
775,775,0,0,82343f76
776,776,0,0,219a0fbb
777,777,0,0,90cac75c
778,778,0,0,498363bf
779,779,0,0,b439b60b
780,780,0,0,9b7dbb95
781,781,0,0,dc2f5a0d
782,782,0,0,bd42cae0
783,783,0,0,2e218d8f
784,784,0,0,5796e6c6
785,785,0,0,2a3cf375
786,786,0,0,0232ff88
787,787,0,0,20e80fac
788,788,0,0,8622c170
789,789,0,0,77a216cf
790,790,0,0,a3ae30cd
791,791,0,0,b150c8e7
792,792,0,0,d949a4e3
793,793,0,0,fdbad5b4
794,794,0,0,2f440d9e
795,795,0,0,4752e198
796,796,0,0,616d90ed
797,797,0,0,9363476f
798,798,0,0,79b76b49
799,799,0,0,7daa15b3
800,800,0,0,280e0cfd
