Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
388,388,0,0000,3c200af0,0,0
389,389,0,0000,3f838ac0,0,0
390,390,0,0000,0c3f820a,0,0
391,391,0,0000,fa0c2b82,0,0
392,392,0,0000,4afc1c2a,0,0
393,393,0,0000,8835bc09,0,0
394,394,0,0000,a98e33bd,0,0
395,395,0,0000,36d0f627,0,0
396,396,0,0000,b543b6e0,0,0
397,397,0,0000,8e35bd89,0,0
398,398,0,0000,d18e27bd,0,0
399,399,0,0000,56d6e626,0,0
400,400,0,0000,343cf6f5,0,0
401,401,0,0000,9a33bb88,0,0
402,402,0,0000,c0f75fa9,0,0
403,403,0,0000,03a38030,0,0
404,404,0,0000,33bc08ca,0,0
405,405,0,0000,f633a988,0,0
406,406,0,0000,b0f037a8,0,0
407,407,0,0000,c2c9a023,0,0
408,408,0,0000,21bb8fb4,0,0
409,409,0,0000,9f5ec59a,0,0
410,410,0,0000,839340c7,0,0
411,411,0,0000,3b760b69,0,0
412,412,0,0000,5fbb9a34,0,0
413,413,0,0000,8758c19b,0,0
414,414,0,0000,62ea10d3,0,0
415,415,0,0000,ae0f4d7d,0,0
416,416,0,0000,5ac4e421,0,0
417,417,0,0000,c354df99,0,0
418,418,0,0000,301f88fa,0,0
419,419,0,0000,c58fa142,0,0
420,420,0,0000,46c39e20,0,0
421,421,0,0000,7239978b,0,0
422,422,0,0000,e3722f97,0,0
423,423,0,0000,bee54a2e,0,0
424,424,0,0000,1ccd855d,0,0
425,425,0,0000,b8e54bae,0,0
426,426,0,0000,64cd915d,0,0
427,427,0,0000,d8e35baf,0,0
428,428,0,0000,e5b2d148,0,0
429,429,0,0000,cce55dae,0,0
430,430,0,0000,f4cba95c,0,0
431,431,0,0000,99903bb8,0,0
432,432,0,0000,f34b5763,0,0
433,433,0,0000,f59029b8,0,0
434,434,0,0000,834c3f62,0,0
435,435,0,0000,34fa09ab,0,0
436,436,0,0000,914bb81c,0,0
437,437,0,0000,5d9765b9,0,0
438,438,0,0000,a228cf73,0,0
439,439,0,0000,a428cef3,0,0
440,440,0,0000,dc28daf3,0,0
441,441,0,0000,bc2ecaf2,0,0
442,442,0,0000,3d518ae7,0,0
443,443,0,0000,29578ce6,0,0
444,444,0,0000,382ef4f2,0,0
445,445,0,0000,6d5b92e4,0,0
446,446,0,0000,6adb6cdb,0,0
447,447,0,0000,06db7edb,0,0
448,448,0,0000,76dc16da,0,0
449,449,0,0000,b7b636c9,0,0
450,450,0,0000,a5b1b1b7,0,0
451,451,0,0000,ccdcdda5,0,0
452,452,0,0000,ffbfaaca,0,0
453,453,0,0000,06000180,0,0
454,454,0,0000,78001400,0,0
455,455,0,0000,60061001,0,0
456,456,0,0000,817f4015,0,0
457,457,0,0000,14060601,0,0
458,458,0,0000,11797814,0,0
459,459,0,0000,55756616,0,0
460,460,0,0000,0780fe3f,0,0
461,461,0,0000,6c001200,0,0
462,462,0,0000,70076801,0,0
463,463,0,0000,c16a2013,0,0
464,464,0,0000,1207877e,0,0
465,465,0,0000,696d6c12,0,0
466,466,0,0000,3363776f,0,0
467,467,0,0000,f9bfab4a,0,0
468,468,0,0000,7e001580,0,0
469,469,0,0000,18060401,0,0
470,470,0,0000,e1795014,0,0
471,471,0,0000,95794614,0,0
472,472,0,0000,057f7e15,0,0
