Sample in Buffer,Sample in Window,TRIGGER,top_jesd204_inst/rx_data[255:0],top_jesd204_inst/rx_valid,top_jesd204_inst/sys_rst_n,top_jesd204_inst/rx_sync_0,top_jesd204_inst/sysref,top_jesd204_inst/rst_204
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
189,189,0,aef39a73ccf8fcc0b508dcf4aef39a731d74b78a9a730cab9a730cab80849b73,1,0,1,0,0
190,190,0,aff39b73cdf8fdc0b608ddf4aff39b731e74b88a9b730dab9b730dab81849c73,1,0,1,0,0
191,191,0,b0f39c73cef8fec0b708def4b0f39c731f74b98a9c730eab9c730eab82849d73,1,0,1,0,0
192,192,0,b1f39d73cff8ffc0b808dff4b1f39d732074ba8a9d730fab9d730fab83849e73,1,0,1,0,0
193,193,0,b2f39e73d0f800c1b908e0f4b2f39e732174bb8a9e7310ab9e7310ab84849f73,1,0,1,0,0
194,194,0,b3f39f73d1f801c1ba08e1f4b3f39f732274bc8a9f7311ab9f7311ab8584a073,1,0,1,0,0
195,195,0,b4f3a073d2f802c1bb08e2f4b4f3a0732374bd8aa07312aba07312ab8684a173,1,0,1,0,0
196,196,0,b5f3a173d3f803c1bc08e3f4b5f3a1732474be8aa17313aba17313ab8784a273,1,0,1,0,0
197,197,0,b6f3a273d4f804c1bd08e4f4b6f3a2732574bf8aa27314aba27314ab8884a373,1,0,1,0,0
198,198,0,b7f3a373d5f805c1be08e5f4b7f3a3732674c08aa37315aba37315ab8984a473,1,0,1,0,0
199,199,0,b8f3a473d6f806c1bf08e6f4b8f3a4732774c18aa47316aba47316ab8a84a573,1,0,1,1,0
200,200,0,b9f3a573d7f807c1c008e7f4b9f3a5732874c28aa57317aba57317ab8b84a673,1,0,1,1,0
201,201,0,baf3a673d8f808c1c108e8f4baf3a6732974c38aa67318aba67318ab8c84a773,1,0,1,1,0
202,202,0,bbf3a773d9f809c1c208e9f4bbf3a7732a74c48aa77319aba77319ab8d84a873,1,0,1,1,0
203,203,0,bcf3a873daf80ac1c308eaf4bcf3a8732b74c58aa8731aaba8731aab8e84a973,1,0,1,1,0
204,204,0,bdf3a973dbf80bc1c408ebf4bdf3a9732c74c68aa9731baba9731bab8f84aa73,1,0,1,1,0
205,205,0,bef3aa73dcf80cc1c508ecf4bef3aa732d74c78aaa731cabaa731cab9084ab73,1,0,1,1,0
206,206,0,bff3ab73ddf80dc1c608edf4bff3ab732e74c88aab731dabab731dab9184ac73,1,0,1,1,0
207,207,0,c0f3ac73def80ec1c708eef4c0f3ac732f74c98aac731eabac731eab9284ad73,1,0,1,1,0
208,208,0,c1f3ad73dff80fc1c808eff4c1f3ad733074ca8aad731fabad731fab9384ae73,1,0,1,1,0
209,209,0,c2f3ae73e0f810c1c908f0f4c2f3ae733174cb8aae7320abae7320ab9484af73,1,0,1,1,0
210,210,0,c3f3af73e1f811c1ca08f1f4c3f3af733274cc8aaf7321abaf7321ab9584b073,1,0,1,1,0
211,211,0,c4f3b073e2f812c1cb08f2f4c4f3b0733374cd8ab07322abb07322ab9684b173,1,0,1,1,0
212,212,0,c5f3b173e3f813c1cc08f3f4c5f3b1733474ce8ab17323abb17323ab9784b273,1,0,1,1,0
213,213,0,c6f3b273e4f814c1cd08f4f4c6f3b2733574cf8ab27324abb27324ab9884b373,1,0,1,1,0
214,214,0,c7f3b373e5f815c1ce08f5f4c7f3b3733674d08ab37325abb37325ab9984b473,1,0,1,1,0
215,215,0,c8f3b473e6f816c1cf08f6f4c8f3b4733774d18ab47326abb47326ab9a84b573,1,0,1,1,0
216,216,0,c9f3b573e7f817c1d008f7f4c9f3b5733874d28ab57327abb57327ab9b84b673,1,0,1,1,0
217,217,0,caf3b673e8f818c1d108f8f4caf3b6733974d38ab67328abb67328ab9c84b773,1,0,1,1,0
218,218,0,cbf3b773e9f819c1d208f9f4cbf3b7733a74d48ab77329abb77329ab9d84b873,1,0,1,1,0
219,219,0,ccf3b873eaf81ac1d308faf4ccf3b8733b74d58ab8732aabb8732aab9e84b973,1,0,1,1,0
220,220,0,cdf3b973ebf81bc1d408fbf4cdf3b9733c74d68ab9732babb9732bab9f84ba73,1,0,1,1,0
221,221,0,cef3ba73ecf81cc1d508fcf4cef3ba733d74d78aba732cabba732caba084bb73,1,0,1,1,0
222,222,0,cff3bb73edf81dc1d608fdf4cff3bb733e74d88abb732dabbb732daba184bc73,1,0,1,1,0
223,223,0,d0f3bc73eef81ec1d708fef4d0f3bc733f74d98abc732eabbc732eaba284bd73,1,0,1,0,0
224,224,0,d1f3bd73eff81fc1d808fff4d1f3bd734074da8abd732fabbd732faba384be73,1,0,1,0,0
225,225,0,d2f3be73f0f820c1d90800f5d2f3be734174db8abe7330abbe7330aba484bf73,1,0,1,0,0
226,226,0,d3f3bf73f1f821c1da0801f5d3f3bf734274dc8abf7331abbf7331aba584c073,1,0,1,0,0
227,227,0,d4f3c073f2f822c1db0802f5d4f3c0734374dd8ac07332abc07332aba684c173,1,0,1,0,0
228,228,0,d5f3c173f3f823c1dc0803f5d5f3c1734474de8ac17333abc17333aba784c273,1,0,1,0,0
229,229,0,d6f3c273f4f824c1dd0804f5d6f3c2734574df8ac27334abc27334aba884c373,1,0,1,0,0
230,230,0,d7f3c373f5f825c1de0805f5d7f3c3734674e08ac37335abc37335aba984c473,1,0,1,0,0
231,231,0,d8f3c473f6f826c1df0806f5d8f3c4734774e18ac47336abc47336abaa84c573,1,0,1,0,0
232,232,0,d9f3c573f7f827c1e00807f5d9f3c5734874e28ac57337abc57337abab84c673,1,0,1,0,0
233,233,0,daf3c673f8f828c1e10808f5daf3c6734974e38ac67338abc67338abac84c773,1,0,1,0,0
