Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
124,124,0,1,1,c6925105c6925106c6925107c6925108,0,1,0,1,0,0,00000000000000000000000000000000
125,125,0,1,1,c6925106c6925107c6925108c6925109,0,1,0,1,0,0,00000000000000000000000000000000
126,126,0,1,1,c6925107c6925108c6925109c692510a,0,1,0,1,0,0,00000000000000000000000000000000
127,127,0,1,1,c6925108c6925109c692510ac692510b,0,1,0,1,0,0,00000000000000000000000000000000
128,128,0,1,1,c6925109c692510ac692510bc692510c,0,1,0,1,0,0,00000000000000000000000000000000
129,129,0,1,1,c692510ac692510bc692510cc692510d,0,1,0,1,0,0,00000000000000000000000000000000
130,130,0,1,1,c692510bc692510cc692510dc692510e,0,1,0,1,0,0,00000000000000000000000000000000
131,131,0,1,1,c692510cc692510dc692510ec692510f,0,1,0,1,0,0,00000000000000000000000000000000
132,132,0,1,1,c692510dc692510ec692510fc6925110,0,1,0,1,0,0,00000000000000000000000000000000
133,133,0,1,1,c692510ec692510fc6925110c6925111,0,1,0,1,0,0,00000000000000000000000000000000
134,134,0,1,1,c692510fc6925110c6925111c6925112,0,1,0,1,0,0,00000000000000000000000000000000
135,135,0,1,1,c6925110c6925111c6925112c6925113,0,1,0,1,0,0,00000000000000000000000000000000
136,136,0,1,1,c6925111c6925112c6925113c6925114,0,1,0,1,0,0,00000000000000000000000000000000
137,137,0,1,1,c6925112c6925113c6925114c6925115,0,1,0,1,0,0,00000000000000000000000000000000
138,138,0,1,1,c6925113c6925114c6925115c6925116,0,1,0,1,0,0,00000000000000000000000000000000
139,139,0,1,1,c6925114c6925115c6925116c6925117,0,1,0,1,0,0,00000000000000000000000000000000
140,140,0,1,1,c6925115c6925116c6925117c6925118,0,1,0,1,0,0,00000000000000000000000000000000
141,141,0,1,1,c6925116c6925117c6925118c6925119,0,1,0,1,0,0,00000000000000000000000000000000
142,142,0,1,1,c6925117c6925118c6925119c692511a,0,1,0,1,0,0,00000000000000000000000000000000
143,143,0,1,1,c6925118c6925119c692511ac692511b,0,1,0,1,0,0,00000000000000000000000000000000
144,144,0,1,1,c6925119c692511ac692511bc692511c,0,1,0,1,0,0,00000000000000000000000000000000
145,145,0,1,1,c692511ac692511bc692511cc692511d,0,1,0,1,0,0,00000000000000000000000000000000
146,146,0,1,1,c692511bc692511cc692511dc692511e,0,1,0,1,0,0,00000000000000000000000000000000
147,147,0,1,1,c692511cc692511dc692511ec692511f,0,1,0,1,0,0,00000000000000000000000000000000
148,148,0,1,1,c692511dc692511ec692511fc6925120,0,1,0,1,0,0,00000000000000000000000000000000
149,149,0,1,1,c692511ec692511fc6925120c6925121,0,1,0,1,0,0,00000000000000000000000000000000
150,150,0,1,1,c692511fc6925120c6925121c6925122,0,1,0,1,0,0,00000000000000000000000000000000
151,151,0,1,1,c6925120c6925121c6925122c6925123,0,1,0,1,0,0,00000000000000000000000000000000
152,152,0,1,1,c6925121c6925122c6925123c6925124,0,1,0,1,0,0,00000000000000000000000000000000
153,153,0,1,1,c6925122c6925123c6925124c6925125,0,1,0,1,0,0,00000000000000000000000000000000
154,154,0,1,1,c6925123c6925124c6925125c6925126,0,1,0,1,0,0,00000000000000000000000000000000
155,155,0,1,1,c6925124c6925125c6925126c6925127,0,1,0,1,0,0,00000000000000000000000000000000
156,156,0,1,1,c6925125c6925126c6925127c6925128,0,1,0,1,0,0,00000000000000000000000000000000
157,157,0,1,1,c6925126c6925127c6925128c6925129,0,1,0,1,0,0,00000000000000000000000000000000
158,158,0,1,1,c6925127c6925128c6925129c692512a,0,1,0,1,0,0,00000000000000000000000000000000
159,159,0,1,1,c6925128c6925129c692512ac692512b,0,1,0,1,0,0,00000000000000000000000000000000
160,160,0,1,1,c6925129c692512ac692512bc692512c,0,1,0,1,0,0,00000000000000000000000000000000
161,161,0,1,1,c692512ac692512bc692512cc692512d,0,1,0,1,0,0,00000000000000000000000000000000
162,162,0,1,1,c692512bc692512cc692512dc692512e,0,1,0,1,0,0,00000000000000000000000000000000
163,163,0,1,1,c692512cc692512dc692512ec692512f,0,1,0,1,0,0,00000000000000000000000000000000
164,164,0,0,1,c692512dc692512ec692512fc6925130,0,1,0,1,0,0,00000000000000000000000000000000
165,165,0,0,1,c692512ec692512fc6925130c6925131,0,1,0,1,0,0,00000000000000000000000000000000
166,166,0,0,1,c692512fc6925130c6925131c6925132,0,1,0,1,0,0,00000000000000000000000000000000
167,167,0,0,1,c6925130c6925131c6925132c6925133,0,1,0,1,0,0,00000000000000000000000000000000
168,168,0,0,1,c6925131c6925132c6925133c6925134,0,1,0,1,0,0,00000000000000000000000000000000
169,169,0,0,1,c6925132c6925133c6925134c6925135,0,1,0,1,0,0,00000000000000000000000000000000
170,170,0,0,1,c6925133c6925134c6925135c6925136,0,1,0,1,0,0,00000000000000000000000000000000
171,171,0,0,1,c6925134c6925135c6925136c6925137,0,1,0,1,0,0,00000000000000000000000000000000
172,172,0,0,1,c6925135c6925136c6925137c6925138,0,1,0,1,0,0,00000000000000000000000000000000
173,173,0,0,1,c6925136c6925137c6925138c6925139,0,1,0,1,0,0,00000000000000000000000000000000
174,174,0,0,1,c6925137c6925138c6925139c692513a,0,1,0,1,0,0,00000000000000000000000000000000
175,175,0,0,1,c6925138c6925139c692513ac692513b,0,1,0,1,0,0,00000000000000000000000000000000
176,176,0,0,1,c6925139c692513ac692513bc692513c,0,1,0,1,0,0,00000000000000000000000000000000
177,177,0,0,1,c692513ac692513bc692513cc692513d,0,1,0,1,0,0,00000000000000000000000000000000
178,178,0,0,1,c692513bc692513cc692513dc692513e,0,1,0,1,0,0,00000000000000000000000000000000
179,179,0,0,1,c692513cc692513dc692513ec692513f,0,1,0,1,0,0,00000000000000000000000000000000
180,180,0,0,1,c692513dc692513ec692513fc6925140,0,1,0,1,0,0,00000000000000000000000000000000
181,181,0,0,1,c692513ec692513fc6925140c6925141,0,1,0,1,0,0,00000000000000000000000000000000
182,182,0,0,1,c692513fc6925140c6925141c6925142,0,1,0,1,0,0,00000000000000000000000000000000
183,183,0,0,1,c6925140c6925141c6925142c6925143,0,1,0,1,0,0,00000000000000000000000000000000
184,184,0,0,1,c6925141c6925142c6925143c6925144,0,1,0,1,0,0,00000000000000000000000000000000
185,185,0,0,1,c6925142c6925143c6925144c6925145,0,1,0,1,0,0,00000000000000000000000000000000
186,186,0,0,1,c6925143c6925144c6925145c6925146,0,1,0,1,0,0,00000000000000000000000000000000
187,187,0,0,1,c6925144c6925145c6925146c6925147,0,1,0,1,0,0,00000000000000000000000000000000
188,188,0,0,1,c6925145c6925146c6925147c6925148,0,1,0,1,0,0,00000000000000000000000000000000
189,189,0,0,1,c6925146c6925147c6925148c6925149,0,1,0,1,0,0,00000000000000000000000000000000
190,190,0,0,1,c6925147c6925148c6925149c692514a,0,1,0,1,0,0,00000000000000000000000000000000
191,191,0,0,1,c6925148c6925149c692514ac692514b,0,1,0,1,0,0,00000000000000000000000000000000
192,192,0,0,1,c6925149c692514ac692514bc692514c,0,1,0,1,0,0,00000000000000000000000000000000
193,193,0,0,1,c692514ac692514bc692514cc692514d,0,1,0,1,0,0,00000000000000000000000000000000
194,194,0,0,1,c692514bc692514cc692514dc692514e,0,1,0,1,0,0,00000000000000000000000000000000
195,195,0,0,1,c692514cc692514dc692514ec692514f,0,1,0,1,0,0,00000000000000000000000000000000
196,196,0,0,1,c692514dc692514ec692514fc6925150,0,1,0,1,0,0,00000000000000000000000000000000
